Campaign_ID,Date,Platform,Audience_Segment,Ad_Creative_Name,Spend_USD,Impressions,Clicks,Conversions,Revenue_USD,CTR_Percent,CPA_USD,ROAS
CAMP_0001,2026-03-15,LinkedIn,College Students 18-24,Last Chance Alert,3193.96,9872,289,16,2231.54,2.94,197.45,0.7
CAMP_0002,2026-05-06,LinkedIn,Corporate Executives 40-55,Get Started Free,4864.59,17989,588,40,3072.33,3.27,121.14,0.63
CAMP_0003,2026-04-22,Google,Corporate Executives 40-55,New Product Launch,1810.53,15342,435,34,3205.54,2.84,52.51,1.77
CAMP_0004,2026-05-03,Google,Corporate Executives 40-55,Exclusive Deal,2221.08,19798,950,129,15669.44,4.8,17.18,7.05
CAMP_0005,2026-04-20,LinkedIn,Soccer Moms 35-45,Premium Features,4739.91,3689,11,0,2.08,0.32,39439.99,0.0
CAMP_0006,2026-02-25,LinkedIn,College Students 18-24,Last Chance Alert,654.75,18911,671,78,6877.65,3.55,8.38,10.5
CAMP_0007,2026-03-05,Google,Soccer Moms 35-45,Premium Features,1331.85,4908,21,0,14.64,0.43,2178.79,0.01
CAMP_0008,2026-03-15,LinkedIn,Corporate Executives 40-55,Black Friday Early,2843.75,19534,1380,172,18695.5,7.07,16.51,6.57
CAMP_0009,2026-02-27,Google,Tech Bros 25-34,New Product Launch,1833.23,9983,209,19,1844.09,2.09,94.98,1.01
CAMP_0010,2026-04-01,LinkedIn,Retirees 55-65,Exclusive Deal,3680.86,5187,17,0,1.43,0.33,35044.06,0.0
CAMP_0011,2026-04-04,LinkedIn,Tech Bros 25-34,Last Chance Alert,2522.53,9144,386,45,5416.16,4.22,55.86,2.15
CAMP_0012,2026-03-05,Google,Retirees 55-65,Exclusive Deal,2624.97,3358,10,0,2.7,0.31,15166.78,0.0
CAMP_0013,2026-04-12,LinkedIn,Retirees 55-65,New Product Launch,3697.98,3332,7,0,1.18,0.23,59644.36,0.0
CAMP_0014,2026-04-19,Meta,College Students 18-24,Get Started Free,1621.82,12924,844,61,4118.76,6.53,26.35,2.54
CAMP_0015,2026-05-14,LinkedIn,Corporate Executives 40-55,Limited Time Offer,3309.59,11547,304,29,2316.73,2.63,113.8,0.7
CAMP_0016,2026-05-07,Google,Corporate Executives 40-55,VIP Membership,1049.4,12275,913,70,8342.94,7.44,14.88,7.95
CAMP_0017,2026-03-15,Meta,Retirees 55-65,Black Friday Early,1240.95,4602,11,0,2.21,0.25,7139.71,0.0
CAMP_0018,2026-03-03,LinkedIn,Retirees 55-65,Join Our Community,1484.44,4674,10,0,0.77,0.22,24040.1,0.0
CAMP_0019,2026-04-14,Google,Soccer Moms 35-45,Exclusive Deal,1853.95,2854,6,0,2.68,0.21,13866.42,0.0
CAMP_0020,2026-04-28,LinkedIn,Young Professionals 30-40,Summer Sale Push,3354.58,16168,838,79,8722.14,5.19,42.21,2.6
CAMP_0021,2026-03-02,LinkedIn,Retirees 55-65,Last Chance Alert,1569.37,5184,10,0,2.58,0.21,9935.46,0.0
CAMP_0022,2026-03-10,LinkedIn,Tech Bros 25-34,New Product Launch,1943.51,10238,229,25,3033.0,2.24,77.52,1.56
CAMP_0023,2026-02-20,Google,Retirees 55-65,Exclusive Deal,2069.0,3288,12,0,2.09,0.38,15016.33,0.0
CAMP_0024,2026-05-20,LinkedIn,College Students 18-24,New Product Launch,1010.63,19096,1387,105,12553.44,7.26,9.61,12.42
CAMP_0025,2026-02-28,Meta,College Students 18-24,Summer Sale Push,1588.34,9117,673,94,11027.56,7.38,16.85,6.94
CAMP_0026,2026-05-05,Meta,Retirees 55-65,Exclusive Deal,3766.8,5691,20,0,5.71,0.37,10825.81,0.0
CAMP_0027,2026-03-09,Meta,College Students 18-24,Join Our Community,3510.45,14968,633,91,13473.09,4.23,38.47,3.84
CAMP_0028,2026-03-12,Google,Soccer Moms 35-45,Limited Time Offer,3613.53,3955,10,0,4.45,0.27,14096.89,0.0
CAMP_0029,2026-03-21,LinkedIn,Retirees 55-65,Summer Sale Push,1886.27,4627,11,0,2.13,0.25,11092.36,0.0
CAMP_0030,2026-04-24,Google,Corporate Executives 40-55,Exclusive Deal,4514.21,15573,1054,105,11829.42,6.77,42.71,2.62
CAMP_0031,2026-04-06,Meta,Young Professionals 30-40,Exclusive Deal,3074.02,17222,389,58,5955.05,2.26,52.81,1.94
CAMP_0032,2026-04-20,Meta,Corporate Executives 40-55,Exclusive Deal,3864.73,19436,774,81,9091.41,3.98,47.4,2.35
CAMP_0033,2026-04-14,Meta,College Students 18-24,Get Started Free,1359.1,11221,551,48,4594.64,4.91,28.26,3.38
CAMP_0034,2026-02-21,Google,Retirees 55-65,Last Chance Alert,816.87,3626,10,0,1.42,0.3,7200.95,0.0
CAMP_0035,2026-04-10,Google,Tech Bros 25-34,Last Chance Alert,3636.57,16429,682,54,7200.14,4.16,67.09,1.98
CAMP_0036,2026-03-05,Meta,Young Professionals 30-40,VIP Membership,523.33,15534,491,28,2687.3,3.17,18.64,5.13
CAMP_0037,2026-03-13,LinkedIn,College Students 18-24,Limited Time Offer,922.92,14939,331,31,3478.65,2.22,28.88,3.77
CAMP_0038,2026-02-27,Google,Soccer Moms 35-45,Join Our Community,1626.13,2116,6,0,2.33,0.29,12730.06,0.0
CAMP_0039,2026-03-31,Meta,College Students 18-24,Get Started Free,2557.69,18104,573,52,6423.44,3.17,48.96,2.51
CAMP_0040,2026-05-20,Meta,Soccer Moms 35-45,VIP Membership,1953.3,4385,12,0,3.66,0.28,8432.78,0.0
CAMP_0041,2026-04-08,Meta,Corporate Executives 40-55,Black Friday Early,2427.42,16261,382,54,5396.23,2.35,44.9,2.22
CAMP_0042,2026-04-27,Meta,Young Professionals 30-40,Get Started Free,3372.22,14200,843,78,9925.5,5.94,42.71,2.94
CAMP_0043,2026-04-22,Google,Retirees 55-65,Get Started Free,1040.74,4025,5,0,0.43,0.13,31611.48,0.0
CAMP_0044,2026-03-01,Meta,College Students 18-24,VIP Membership,3935.14,17682,721,69,8241.53,4.08,56.57,2.09
CAMP_0045,2026-04-29,Google,Young Professionals 30-40,Premium Features,703.87,12495,719,72,9889.01,5.76,9.76,14.05
